,rule,precision,recall
78,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=2.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Fare', value=0.0)]",0.9090909090909091,0.06191950464396285
79,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Age', value=1.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Fare', value=0.0)]",0.896551724137931,0.0858085808580858
80,"[Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=3.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Parch', value=2.0)]",1.0,0.010830324909747292
81,"[Rule(attribute='Sex', value=0.0), Rule(attribute='SibSp', value=3.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Age', value=1.0)]",1.0,0.012048192771084338
82,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Parch', value=2.0), Rule(attribute='Pclass', value=0.0)]",1.0,0.012195121951219513
83,"[Rule(attribute='Embarked', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Sex', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Pclass', value=2.0)]",0.8947368421052632,0.10493827160493827
84,"[Rule(attribute='SibSp', value=0.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0)]",0.888,0.40808823529411764
85,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Pclass', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Age', value=1.0), Rule(attribute='Fare', value=0.0)]",1.0,0.015267175572519083
86,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0)]",0.875,0.08695652173913043
87,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Pclass', value=1.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='SibSp', value=1.0)]",1.0,0.02040816326530612
88,"[Rule(attribute='Age', value=2.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Pclass', value=0.0)]",0.8214285714285714,0.1597222222222222
89,"[Rule(attribute='Sex', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Age', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Parch', value=1.0), Rule(attribute='Fare', value=0.0)]",1.0,0.04918032786885246
90,"[Rule(attribute='Sex', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Pclass', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Age', value=1.0)]",1.0,0.017241379310344827
91,"[Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Sex', value=0.0)]",0.8333333333333334,0.043859649122807015
92,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='SibSp', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=0.0)]",0.7692307692307693,0.16666666666666666
93,"[Rule(attribute='Pclass', value=1.0), Rule(attribute='Age', value=1.0), Rule(attribute='Sex', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='SibSp', value=1.0)]",0.8333333333333334,0.04854368932038835
94,"[Rule(attribute='Pclass', value=0.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='SibSp', value=1.0), Rule(attribute='Sex', value=1.0)]",0.7777777777777778,0.0707070707070707
95,"[Rule(attribute='Sex', value=1.0), Rule(attribute='Parch', value=0.0), Rule(attribute='Embarked', value=2.0), Rule(attribute='Fare', value=0.0), Rule(attribute='Age', value=1.0)]",0.7692307692307693,0.21739130434782608
